Source Row,Name,URL,Access Status,Access Method,HTTP,Final URL,Page Title,Submit Status,Submit URL,Submit HTTP,Submit Final URL,Auth Required,Needs VPN,Notes,Verified At
16,AI Cyclopedia,https://www.aicyclopedia.com,OK,DIRECT,200,https://aicyclopedia.com/,"Home - AICYCLOPEDIA | The latest AI News, Tools, & Learning",BLOCKED,https://aicyclopedia.com/submit-your-ai-tool/,403,https://aicyclopedia.com/submit-your-ai-tool/,,Yes,,2026-08-23 12:56 UTC
17,AI Database,https://www.ai-database.org,OK,DIRECT,200,https://ai-database.org/,AI Database | Find The Best AI Tools & Software,STALE,https://ai-database.org/submit,404,https://ai-database.org/submit,,,,2026-08-23 12:56 UTC
18,AI Scout,https://aiscout.net,SERVER_ERROR,DIRECT,520,https://aiscout.net,ERROR 520,UNKNOWN,,0,,,,HTTP 520; No verified public submit entry found,2026-08-23 12:56 UTC
19,AI Tool Directory,https://aitooldirectory.com,OK,DIRECT,200,https://aitooldirectory.com,Best AI Tools Directory & AI Tools List - AI Tools Directory,AUTH_REQUIRED,https://aitooldirectory.com/login?redirect=/submit,200,https://aitooldirectory.com/login?redirect=/submit,Yes,,,2026-08-23 12:56 UTC
20,AI Valley,https://aivalley.ai,OK,DIRECT,200,https://aivalley.ai,AI Valley | Discover The Newest AI Tools And Prompts For Any Use In Seconds,OPEN,https://aivalley.ai/submit,200,https://aivalley.ai/submit-prompts/,,,,2026-08-23 12:56 UTC
21,All Things AI,https://allthings-ai.com,OK,DIRECT,200,https://allthings-ai.com,AI Tools Directory,STALE,https://allthings-ai.com/submit,404,https://allthings-ai.com/submit,,,,2026-08-23 12:56 UTC
22,AlternativeTo,https://alternativeto.net,OK,DIRECT,200,https://alternativeto.net,AlternativeTo - Crowdsourced software recommendations | AlternativeTo,STALE,https://alternativeto.net/submit,404,https://alternativeto.net/submit/,,,,2026-08-23 12:56 UTC
23,AngelList / Wellfound,https://wellfound.com,OK,DIRECT,200,https://wellfound.com,Startup Jobs & AI Recruiting Platform | Wellfound,BLOCKED,https://wellfound.com/submit,403,https://wellfound.com/company/submit,,Yes,,2026-08-23 12:56 UTC
24,App Stacks,https://appstacks.club,OK,DIRECT,200,https://appstacks.club,Discover stories and stacks behind your favorite apps,STALE,https://appstacks.club/submit,404,https://appstacks.club/submit,,,,2026-08-23 12:56 UTC
25,AppSumo (if eligible later),https://appsumo.com,OK,DIRECT,200,https://appsumo.com,AppSumo - Discover products. Stay weird. | AppSumo,OPEN,https://sell.appsumo.com/,200,https://sell.appsumo.com/,,,,2026-08-23 12:56 UTC
26,BetaList,https://betalist.com,OK,DIRECT,200,https://betalist.com,Discover and get early access to tomorrow's startups | BetaList,OPEN,https://betalist.com/submit,200,https://betalist.com/sign_in,,,,2026-08-23 12:56 UTC
27,Capterra (if SaaS mature),https://www.capterra.com,OK,VPN+CLOAK,200,https://www.capterra.com,Capterra: Find The Right Software,BLOCKED,https://www.capterra.com/submit,403,https://www.capterra.com/submit,,Yes,Verified via VPN+CLOAK TH,2026-08-23 12:56 UTC
28,CtrlAltCC,https://ctrlalt.cc,OK,DIRECT,202,https://ctrlalt.cc,,UNKNOWN,,0,,,,No verified public submit entry found,2026-08-23 12:56 UTC
29,Dang AI,https://dang.ai,OK,DIRECT,200,https://dang.ai,AI Tools Directory | Dang.ai,AUTH_REQUIRED,https://dang.ai/pricing,200,https://dang.ai/login?next=%2Fpricing,Yes,,,2026-08-23 12:56 UTC
30,Dev Hunt,https://devhunt.org,OK,DIRECT,200,https://devhunt.org,Dev Hunt – The best new Dev Tools every day.,STALE,https://devhunt.org/submit,200,https://devhunt.org/submit,,,,2026-08-23 12:56 UTC
31,DevPages,https://devpages.io,OK,DIRECT,200,https://devpages.io,DevPages - The Ultimate Developer Tools Directory 2026,OPEN,https://devpages.io/submit-a-tool,200,https://devpages.io/submit-a-tool,,,,2026-08-23 12:56 UTC
32,Futurepedia (if AI startup),https://www.futurepedia.io,OK,DIRECT,200,https://www.futurepedia.io,"Find The Best AI Tools & Software, Futurepedia.io",OPEN,https://www.futurepedia.io/submit-tool,200,https://www.futurepedia.io/submit-tool,,,,2026-08-23 12:56 UTC
33,G2 (later stage),https://www.g2.com,BLOCKED,CLOAK_FAILED,403,https://www.g2.com/,g2.com,STALE,https://www.g2.com/submit,404,https://www.g2.com/submit,,Yes,HTTP 403,2026-08-23 12:56 UTC
34,GitHub (awesome lists),https://github.com,OK,DIRECT,200,https://github.com,GitHub · Change is constant. GitHub keeps you ahead. · GitHub,STALE,https://github.com/submit,200,https://github.com/submit,,,,2026-08-23 12:56 UTC
35,GrowthList,https://www.thegrowthlist.co,OK,DIRECT,200,https://www.thegrowthlist.co,Practical online business ideas you can use today,OPEN,https://www.thegrowthlist.co/tactics/launch-on-product-hunt,200,https://www.thegrowthlist.co/tactics/launch-on-product-hunt,,,,2026-08-23 12:56 UTC
36,Hacker News (Show HN),https://news.ycombinator.com/show,OK,DIRECT,200,https://news.ycombinator.com/show,Show | Hacker News,BLOCKED,https://news.ycombinator.com/submit,429,https://news.ycombinator.com/submit,,Yes,,2026-08-23 12:56 UTC
37,Indie Hackers,https://www.indiehackers.com,OK,DIRECT,200,https://www.indiehackers.com,Indie Hackers: Work Together to Build Profitable Online Businesses,OPEN,https://www.indiehackers.com/products/new,200,https://www.indiehackers.com/products/new,,,,2026-08-23 12:56 UTC
38,Indie Page,https://indiepa.ge,OK,DIRECT,200,https://indiepa.ge,Showcase All Your Startups on a Single Page | Indie Page,STALE,https://indiepa.ge/submit,404,https://indiepa.ge/404,,,,2026-08-23 12:56 UTC
39,Launch Dir,https://www.launchdir.com,OK,DIRECT,200,https://launchdir.com/,LaunchDir - Discover & Launch Amazing Products Every Week,AUTH_REQUIRED,https://launchdir.com/dashboard/launches/new/,200,https://launchdir.com/login/?callbackUrl=%2Fdashboard%2Flaunches%2Fnew%2F,Yes,,,2026-08-23 12:56 UTC
40,Launch Space,https://launchspace.io,OK,DIRECT,200,https://launchspace.io,Sumo303 Serunya Bermain Game Online dengan Suasana yang Lebih Fresh,STALE,https://launchspace.io/submit,404,https://launchspace.io/submit,,,,2026-08-23 12:56 UTC
41,Launching Next,https://www.launchingnext.com,OK,DIRECT,200,https://www.launchingnext.com,"Launching Next | New startups, startup ideas, great business ideas",OPEN,https://www.launchingnext.com/submit/,200,https://www.launchingnext.com/submit/,,,,2026-08-23 12:56 UTC
42,Launching.io,https://www.launching.io,OK,DIRECT,200,https://www.launchingnext.com/,"Launching Next | New startups, startup ideas, great business ideas",OPEN,https://www.launchingnext.com/submit/,200,https://www.launchingnext.com/submit/,,,,2026-08-23 12:56 UTC
43,Makerlog (Projects section),https://getmakerlog.com,OK,DIRECT,200,https://ambitiousfounder.com/,Ambitious Founder,STALE,https://ambitiousfounder.com/submit,404,https://ambitiousfounder.com/submit,,,,2026-08-23 12:56 UTC
44,Makerpad Directory,https://www.makerpad.co,OK,DIRECT,200,https://www.makerpad.co,MakerPad — Build AI companies that run themselves | MakerPad,AUTH_REQUIRED,https://www.makerpad.co/companies/create,200,https://accounts.google.com/v3/signin/identifier?opparams=%253F&dsh=S-231584370%3A1787488676408098&client_id=9454709833-5p8uiejveqdiqiv18k8t53u22n9hfqsr.apps.googleusercontent.com&o2v=1&redirect_uri=https%3A%2F%2Fwww.makerpad.co%2Fauth%2Fgoogle%2Fcallback&response_type=code&scope=openid+profile+email&service=lso&state=JQS2enJ34KoVLXM7VBKm02ftYyfw5oe4hbTpiZhX&flowName=GeneralOAuthFlow&continue=https%3A%2F%2Faccounts.google.com%2Fsignin%2Foauth%2Fv3%2Fconsent%3Fauthuser%3Dunknown%26part%3DAJi8hANkAZe0C7UcXBg1Rau6DaLPHHqX1dlqFQjEL20NBo0i168U9ovVV5WwVUyAfD2x4ZsStFt4IpO_Im63HDggR72Eg_W9-4c0gXlNyPgHKGgeNCYxb2JlSvL3srHWLGixYqmd6T-UpDUXdJXIYQj9aC2skpZUT72wLAxoBVx_HhWGdwEzA8I3kAa0x9Fngn1-aG7qRoSaMRJ13VdnVsjFgYG-VYOpZuJW8d61KSL8XiejW0aA6ewlDJGkS33IWT8pQ-PBA3HP5F1BtfFCbxwmh9qopt3hh1ONyWueooy4Z-AylB6xxATYnrTI9c5VV3F-_RgeeUwifzTUrG8PVwr0Y4m2Nje82O0IISgbIDzZUSxeZnOrhPBuL4rkxvG_pfbyJynlHtBoK0I_EjRu_Y3eUg235sHmuC-ivvx0EOo99Niq_xRcAJev826JQC2s1w-OKXH-9WY7DxbgTnJpQzKEwwGffkuNUA%26flowName%3DGeneralOAuthFlow%26as%3DS-231584370%253A1787488676408098%26client_id%3D9454709833-5p8uiejveqdiqiv18k8t53u22n9hfqsr.apps.googleusercontent.com%26requestPath%3D%252Fsignin%252Foauth%252Fv3%252Fconsent%23&app_domain=https%3A%2F%2Fwww.makerpad.co&rart=ANgoxce7GUoamHiQQoZIzhU3PzIe7MSvovDOB9_beXrdkT-KF0IaqEU2g4gbEeW6cUbe5nJLVeseRljEwIF6MbIyOywO_9DB2jb8KBF934uYAGpm2fxOeq0,Yes,,,2026-08-23 12:56 UTC
45,MicroLaunch,https://microlaunch.net,OK,DIRECT,200,https://microlaunch.net,World-class Tech Products on Microlaunch,OPEN,https://microlaunch.net/deals/submitator,200,https://microlaunch.net/deals/submitator,,,,2026-08-23 12:56 UTC
46,No Code List,https://nocodelist.co,OK,DIRECT,200,https://nocodelist.co,NoCodeList,STALE,https://nocodelist.co/submit,200,https://nocodelist.co/submit,,,,2026-08-23 12:56 UTC
47,PitchWall,https://pitchwall.co,OK,DIRECT,200,https://pitchwall.co,PitchWall - Discover New AI Products Every Day,OPEN,https://pitchwall.co/submit,200,https://pitchwall.co/submit,,,,2026-08-23 12:56 UTC
48,Product Hunt,https://www.producthunt.com,OK,VPN+CLOAK,200,https://www.producthunt.com,Product Hunt – The best new products in tech.,AUTH_REQUIRED,https://www.producthunt.com/posts/new,200,https://www.producthunt.com/login?origin=%2Fposts%2Fnew,Yes,,Verified via VPN+CLOAK TH,2026-08-23 12:56 UTC
49,SaaS AI Tools,https://saasaitools.com,OK,DIRECT,200,https://saasaitools.com,SaaS AI Tools | Directory of Generative AI Tools,OPEN,https://saasaitools.com/submit/,200,https://saasaitools.com/join/,,,,2026-08-23 12:56 UTC
50,SaaS Discovery,https://saasdiscovery.com,OK,DIRECT,200,https://saasdiscovery.com,SaaS Discovery – Discover Best Software for Your Business,STALE,https://saasdiscovery.com/submit-startup,404,https://saasdiscovery.com/submit-startup,,,,2026-08-23 12:56 UTC
51,SaaS Genius,https://saas-genius.com,UNREACHABLE,DIRECT,0,https://saas-genius.com,,UNKNOWN,,0,,,Yes,URLError: <urlopen error [Errno -2] Name or service not known>; No verified public submit entry found,2026-08-23 12:56 UTC
52,SaaS Worthy,https://www.saasworthy.com,OK,DIRECT,200,https://www.saasworthy.com,SaaSworthy | Top Business Software and Reviews,STALE,https://www.saasworthy.com/submit,404,https://www.saasworthy.com/submit,,,,2026-08-23 12:56 UTC
53,Side Project Ideas,https://sideprojectideas.com,OK,DIRECT,200,https://sideprojectideas.com,Create Next App,STALE,https://sideprojectideas.com/submit,404,https://sideprojectideas.com/submit,,,,2026-08-23 12:56 UTC
54,Startup Buffer,https://startupbuffer.com,BLOCKED,CLOAK_FAILED,403,https://startupbuffer.com/,Just a moment...,BLOCKED,https://startupbuffer.com/submit,403,https://startupbuffer.com/submit,,Yes,just a moment,2026-08-23 12:56 UTC
55,Startup Collections,https://startupcollections.com,OK,DIRECT,200,https://startupcollections.com,Startup Collections - Resources and Tools for Starters,OPEN,https://startupcollections.com/submit-product,200,https://startupcollections.com/submit-product/,,,,2026-08-23 12:56 UTC
56,Startup Fame,https://startupfa.me,OK,DIRECT,200,https://startupfa.me,Startup Fame - Discover Awesome Startups | Startup Fame,OPEN,https://startupfa.me/s/submitsaas,200,https://startupfa.me/s/submitsaas,,,,2026-08-23 12:56 UTC
57,Startup Inspire,https://www.startupinspire.com,OK,DIRECT,200,https://www.startupinspire.com,Startup inspiration - Submit and promote your Startup like a Pro | Inspiration gallery for startups,OPEN,https://www.startupinspire.com/submit,200,https://www.startupinspire.com/404,,,,2026-08-23 12:56 UTC
58,Startup Stash,https://startupstash.com,OK,DIRECT,200,https://startupstash.com,Startup Stash - A Curated Directory of Tools and Resources for Your Startup,OPEN,https://startupstash.com/add-listing/,200,https://startupstash.com/add-listing/,,,,2026-08-23 12:56 UTC
59,Tiny Alternatives,https://tinyalternatives.com,OK,DIRECT,200,https://tinyalternatives.com,ReflexClick – Train Your Reflexes and Click Speed,STALE,https://tinyalternatives.com/submit,404,https://tinyalternatives.com/submit,,,,2026-08-23 12:56 UTC
60,Tiny Startups,https://www.tinystartups.com,OK,DIRECT,200,https://www.tinystartups.com,Tiny Startups — Pay-What-You-Want Startup Launch Platform & Product Hunt Alternative,OPEN,https://www.tinystartups.com/submit-tool,200,https://www.tinystartups.com/submit-tool,,,,2026-08-23 12:56 UTC
61,Toolify,https://www.toolify.ai,OK,DIRECT,200,https://www.toolify.ai,Best AI Tools Directory & AI Tools List - Toolify,BLOCKED,https://www.toolify.ai/submit-gpt,403,https://www.toolify.ai/submit-gpt,,Yes,,2026-08-23 12:56 UTC
62,TopAI.tools,https://topai.tools,BLOCKED,CLOAK_FAILED,403,https://topai.tools/,Just a moment...,BLOCKED,https://topai.tools/submit,403,https://topai.tools/submit,,Yes,just a moment,2026-08-23 12:56 UTC
63,Trustpilot (for credibility),https://www.trustpilot.com,BLOCKED,CLOAK_FAILED,403,https://www.trustpilot.com/,Trustpilot Reviews: Experience the power of customer reviews,BLOCKED,https://www.trustpilot.com/submit,403,https://www.trustpilot.com/submit,,Yes,verifying connection,2026-08-23 12:56 UTC
64,Uneed,https://www.uneed.best,OK,DIRECT,200,https://www.uneed.best,Uneed - Launch. Get seen. Grow. | Uneed,STALE,https://www.uneed.best/submit,404,https://www.uneed.best/submit,,,,2026-08-23 12:56 UTC
65,Acid Tools,https://acidtools.com,OK,DIRECT,200,https://acidtools.com,"Practical AI Tools for Automation, Writing, and Design - Acid Tools (2026)",OPEN,https://acidtools.com/get-started,200,https://acidtools.com/get-started,,,,2026-08-23 12:56 UTC
66,Active Search Results,https://www.activesearchresults.com,OK,DIRECT,200,https://www.activesearchresults.com,Active Search Results Search Engine,STALE,https://www.activesearchresults.com/submit,404,https://www.activesearchresults.com/submit,,,,2026-08-23 12:56 UTC
67,Addon Biz,https://www.addonbiz.com,OK,DIRECT,200,https://www.addonbiz.com,"AddonBiz Local Business Directory, Add Your Business Free",OPEN,https://www.addonbiz.com/add-your-listing/,200,https://www.addonbiz.com/add-your-listing/,,,,2026-08-23 12:56 UTC
68,AI Tech Viral,https://aitechviral.com,OK,DIRECT,200,https://aitechviral.com,"Trending AI Tools, New Releases, and Fast-Moving Products - AI Tech Viral (2026)",OPEN,https://aitechviral.com/get-started,200,https://aitechviral.com/get-started,,,,2026-08-23 12:56 UTC
69,AI Toolz,https://aitoolzs.com,OK,DIRECT,200,https://aitoolzs.com,"Compare AI Tools for Writing, Coding, Design, and Automation - AI Toolz (2026)",OPEN,https://aitoolzs.com/get-started,200,https://aitoolzs.com/get-started,,,,2026-08-23 12:56 UTC
70,AI X Collection,https://aixcollection.com,OK,DIRECT,200,https://aixcollection.com,Advanced AI Tools and AI Products for Specialized Use Cases - AI X Collection (2026),OPEN,https://aixcollection.com/get-started,200,https://aixcollection.com/get-started,,,,2026-08-23 12:56 UTC
71,AIFindr,https://aifindr.com,DEAD,DIRECT,404,https://aifindr.com,Site Not Found | Framer,STALE,https://aifindr.com/submit,404,https://aifindr.com/submit,,,HTTP 404,2026-08-23 12:56 UTC
72,AIGC 160,https://aigc160.com,OK,DIRECT,200,https://aigc160.com,"AI Content Tools for Writing, Images, Video, and Creative Work - AIGC 160 (2026)",OPEN,https://aigc160.com/get-started,200,https://aigc160.com/get-started,,,,2026-08-23 12:56 UTC
73,Alternative Tools,https://alternativetools.io,UNREACHABLE,DIRECT,0,https://alternativetools.io,,UNKNOWN,,0,,,Yes,URLError: <urlopen error [Errno -2] Name or service not known>; No verified public submit entry found,2026-08-23 12:56 UTC
74,AppaList,https://appalist.com,OK,DIRECT,200,https://appalist.com,"AI Apps for Everyday Work, Marketing, and Productivity - Appa List (2026)",OPEN,https://appalist.com/get-started,200,https://appalist.com/get-started,,,,2026-08-23 12:56 UTC
75,AppLaunchpad,https://applaunchpad.io,OK,DIRECT,200,https://myinqplex.com/,"Hubet Myinqplex | Trang HUBET.COM Chính Thức, HU BET Tặng 888K",SERVER_ERROR,https://myinqplex.com/submit,508,https://myinqplex.com/submit,,,,2026-08-23 12:56 UTC
76,Appsy Tools,https://appsytools.com,OK,DIRECT,200,https://appsytools.com,"Software Tools for Work, Design, Marketing, and Development - Appsy Tools (2026)",OPEN,https://appsytools.com/get-started,200,https://appsytools.com/get-started,,,,2026-08-23 12:56 UTC
77,AppVault,https://appvault.io,OK,DIRECT,200,https://appvault.io/en/,AppVault | Automate workflows across the systems you already use,STALE,https://appvault.io/submit,404,https://appvault.io/submit,,,,2026-08-23 12:56 UTC
78,Ash List,https://ashlist.com,OK,DIRECT,200,https://ashlist.com,Curated Software Products to Compare by Category and Fit - Ash List (2026),OPEN,https://ashlist.com/get-started,200,https://ashlist.com/get-started,,,,2026-08-23 12:56 UTC
79,Beam Tools,https://beamtools.com,OK,DIRECT,200,https://beamtools.com,Software Tools for Team Workflows and Everyday Execution - Beam Tools (2026),OPEN,https://beamtools.com/get-started,200,https://beamtools.com/get-started,,,,2026-08-23 12:56 UTC
80,Ben's Bites,https://news.bensbites.com,OK,DIRECT,200,https://www.bensbites.com/,Ben's Bites | Substack,STALE,https://www.bensbites.com/submit,404,https://www.bensbites.com/submit,,,,2026-08-23 12:56 UTC
81,Best Tool Vault,https://besttoolvault.com,OK,DIRECT,200,https://besttoolvault.com,Curated Software Tools Worth Keeping in Your Stack - Best Tool Vault (2026),OPEN,https://besttoolvault.com/get-started,200,https://besttoolvault.com/get-started,,,,2026-08-23 12:56 UTC
82,BestofAI,https://bestofai.com,OK,DIRECT,200,https://bestofai.com,The best ai tools & applications online | BestofAI,STALE,https://bestofai.com/submit,404,https://bestofai.com/submit,,,,2026-08-23 12:56 UTC
83,Bowora,https://bowora.com,OK,DIRECT,200,https://bowora.com,Bowora | Get Funded or Acquired - Startup Launch Pad,OPEN,https://bowora.com/submitmap.com,200,https://bowora.com/submitmap.com,,,,2026-08-23 12:56 UTC
84,Brownbook,https://www.brownbook.net,OK,DIRECT,200,https://www.brownbook.net,Brownbook - The Global Business Listing Database. Free business listings for SEO and search engine marketing,STALE,https://www.brownbook.net/submit,404,https://www.brownbook.net/submit,,,,2026-08-23 12:56 UTC
85,BuildLog,https://buildlog.to,UNREACHABLE,DIRECT,0,https://buildlog.to,,UNKNOWN,,0,,,Yes,URLError: <urlopen error [Errno -2] Name or service not known>; No verified public submit entry found,2026-08-23 12:56 UTC
86,BuiltByMe,https://builtbyme.io,OK,DIRECT,200,https://builtbyme.io,BuiltByMe - Discover Products Built by Indie Makers,AUTH_REQUIRED,https://builtbyme.io/submit,200,https://builtbyme.io/login,Yes,,,2026-08-23 12:56 UTC
87,BuiltWithTools,https://builtwithtools.com,OK,DIRECT,200,https://builtwithtools.com,Built With Tools - Built with Confidence,STALE,https://builtwithtools.com/submit,404,https://builtwithtools.com/submit,,,,2026-08-23 12:56 UTC
88,BusinessHunt,https://businesshunt.co,OK,DIRECT,200,https://businesshunt.co,BusinessHunt,STALE,https://businesshunt.co/submit,200,https://businesshunt.co/submit,,,,2026-08-23 12:56 UTC
89,Callupcontact,https://www.callupcontact.com,UNREACHABLE,DIRECT,0,https://www.callupcontact.com,,UNKNOWN,,0,,,Yes,URLError: <urlopen error [SSL: TLSV1_UNRECOGNIZED_NAME] tlsv1 unrecognized name (_ssl.c:1000)>; No verified public submit entry found,2026-08-23 12:56 UTC
90,CurateClick,https://curateclick.com,OK,DIRECT,200,https://curateclick.com,Discover the latest and most popular Products - CurateClick,OPEN,https://curateclick.com/submit,200,https://curateclick.com/submit,,,,2026-08-23 12:56 UTC
91,DailyLaunch,https://dailylaunch.io,UNREACHABLE,DIRECT,0,https://dailylaunch.io,,UNKNOWN,,0,,,Yes,URLError: <urlopen error [Errno -2] Name or service not known>; No verified public submit entry found,2026-08-23 12:56 UTC
92,DeepLaunch.io,https://deeplaunch.io,OK,DIRECT,200,https://deeplaunch.io,DeepLaunch.io - The Ultimate Directory for Online Tools and Resources,OPEN,https://deeplaunch.io/submit,200,https://deeplaunch.io/submit,,,,2026-08-23 12:56 UTC
93,DevHub,https://devhub.best,OK,DIRECT,200,https://devhub.best,DevHub - DevHub is a platform to discover and upvote the best tech products. Find top products launching daily.,AUTH_REQUIRED,https://devhub.best/projects/submit,200,https://devhub.best/sign-in?redirect=/projects/submit,Yes,,,2026-08-23 12:56 UTC
94,DevLaunch,https://devlaunch.io,UNREACHABLE,DIRECT,0,https://devlaunch.io,,UNKNOWN,,0,,,Yes,URLError: <urlopen error timed out>; No verified public submit entry found,2026-08-23 12:56 UTC
95,DR Checker,https://drchecker.org,OK,DIRECT,200,https://drchecker.org,DR Checker - Free Website Domain Rating Checker,STALE,https://drchecker.org/submit,404,https://drchecker.org/submit,,,,2026-08-23 12:56 UTC
96,FF2050.AI,https://ff2050.com,OK,DIRECT,200,https://ff2050.com,"Ff2050 Zone – Reviews, how-tos and hardware picks for players.",UNKNOWN,,0,,,,No verified public submit entry found,2026-08-23 12:56 UTC
97,Firsto,https://firsto.co,OK,DIRECT,200,https://firsto.co,Firsto – Fair Product Launch Platform Where Every Launch Gets Seen,AUTH_REQUIRED,https://firsto.co/projects/submit,200,https://firsto.co/sign-in?redirect=/projects/submit,Yes,,,2026-08-23 12:56 UTC
98,Foundr Tools,https://foundr.tools,UNREACHABLE,DIRECT,0,https://foundr.tools,,UNKNOWN,,0,,,Yes,URLError: <urlopen error [Errno -2] Name or service not known>; No verified public submit entry found,2026-08-23 12:56 UTC
99,FreshStartups,https://freshstartups.io,UNREACHABLE,DIRECT,0,https://freshstartups.io,,UNKNOWN,,0,,,Yes,URLError: <urlopen error [Errno -2] Name or service not known>; No verified public submit entry found,2026-08-23 12:56 UTC
100,GetWorm,https://getworm.com,OK,DIRECT,200,https://getworm.com,Get Worm,UNKNOWN,,0,,,,No verified public submit entry found,2026-08-23 12:56 UTC
101,Good AI Tools,https://goodaitools.com,OK,DIRECT,200,https://goodaitools.com,Discover the Best AI Tools to Boost Your Productivity. - Good AI Tools (2026),OPEN,https://goodaitools.com/get-started,200,https://goodaitools.com/get-started,,,,2026-08-23 12:56 UTC
102,Hunt for Tools,https://huntfortools.com,OK,DIRECT,200,https://huntfortools.com,"Find Software Tools by Category, Workflow, and Fit - Hunt for Tools (2026)",OPEN,https://huntfortools.com/get-started,200,https://huntfortools.com/get-started,,,,2026-08-23 12:56 UTC
103,Idea Kiln,https://ideakiln.com,OK,DIRECT,200,https://ideakiln.com,IdeaKiln: Ship it forward,OPEN,https://ideakiln.com/dashboard/submit-idea,200,https://ideakiln.com/dashboard/submit-idea,,,,2026-08-23 12:56 UTC
104,IndieFounder,https://indiefounder.co,UNREACHABLE,DIRECT,0,https://indiefounder.co,,UNKNOWN,,0,,,Yes,URLError: <urlopen error timed out>; No verified public submit entry found,2026-08-23 12:56 UTC
105,IndieLaunch,https://indielaunch.co,OK,DIRECT,200,https://indielaunch.ai/,Indielaunch - The Complete Startup Ecosystem Platform,STALE,https://indielaunch.ai/submit,404,https://indielaunch.ai/submit,,,,2026-08-23 12:56 UTC
106,IndieMade,https://indiemade.co,UNREACHABLE,DIRECT,0,https://indiemade.co,,UNKNOWN,,0,,,Yes,URLError: <urlopen error [Errno -2] Name or service not known>; No verified public submit entry found,2026-08-23 12:56 UTC
107,IndiePages,https://indiepages.com,UNREACHABLE,DIRECT,0,https://indiepages.com,,UNKNOWN,,0,,,Yes,URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1000)>; No verified public submit entry found,2026-08-23 12:56 UTC
108,IndieStack,https://indiestack.co,OK,DIRECT,200,https://indiestack.co,IndieStack — The Builder's Control Room,UNKNOWN,,0,,,,No verified public submit entry found,2026-08-23 12:56 UTC
